,districtName,districtCity,lat,lon,name,gradeLevels,rating,percentLowIncome,enrollment,parentRating,numReviews,Asian,African American,Hispanic,White,Two or more races,American Indian/Alaska Native,studentsPerTeacher,Pacific Islander
0,Loudoun County Public Schools,Broadlands,38.977879,-77.544075,Madison's Trust Elementary,PK-5,10.0,4%,994,5,7,45.0,4.0,7.0,37.0,5.0,2.0,,
1,Arlington County Public Schools,Arlington,38.879723,-77.121857,Arlington Traditional,PK-5,10.0,26%,540,5,30,19.0,13.0,17.0,40.0,11.0,,14.0,
2,Arlington County Public Schools,Arlington,38.890186,-77.102219,Arlington Science Focus School,PK-5,10.0,23%,681,3,77,26.0,10.0,5.0,46.0,13.0,,15.0,
3,Fairfax County Public Schools,Falls Church,38.818085,-77.16832,Thomas Jefferson High for Science and Technology,9-12,10.0,1%,1786,4,42,68.0,2.0,2.0,21.0,5.0,2.0,16.0,1.0
4,Henrico County Public Schools,Richmond,37.635029,-77.632393,Gayton Elementary School,PK-5,10.0,8%,544,4,31,8.0,4.0,3.0,81.0,5.0,,17.0,
5,Loudoun County Public Schools,Broadlands,39.130226,-77.71891,Emerick Elementary School,PK-5,10.0,8%,482,4,29,5.0,1.0,8.0,80.0,5.0,,15.0,
6,Newport News City Public Schools,Newport News,37.072647,-76.475426,Deer Park Elementary School,PK-5,10.0,38%,547,4,19,3.0,32.0,10.0,47.0,7.0,1.0,19.0,
7,Richmond City Public Schools,Richmond,37.570812,-77.42997,Richmond Community High School,9-12,10.0,97%,236,5,16,1.0,70.0,6.0,21.0,2.0,,12.0,
8,Roanoke City Public Schools,Roanoke,37.244568,-79.952209,Crystal Spring Elementary School,PK-5,10.0,19%,344,4,16,1.0,10.0,1.0,87.0,1.0,,14.0,
9,Scott County Public Schools,Gate City,36.654678,-82.463684,Hilton Elementary School,PK-6,10.0,46%,139,0,0,,1.0,3.0,96.0,,,14.0,
10,VA Beach City Public Schools,Virginia Beach,36.766544,-76.0186,Strawbridge Elementary School,PK-5,10.0,16%,674,5,31,3.0,4.0,8.0,74.0,11.0,,16.0,1.0
11,VA Beach City Public Schools,Virginia Beach,36.749569,-76.034264,Kemps Landing Magnet,2-8,10.0,9%,1181,4,38,18.0,4.0,5.0,63.0,9.0,,14.0,1.0
12,VA Beach City Public Schools,Virginia Beach,36.861954,-76.094887,Kingston Elementary School,PK-5,10.0,8%,526,5,34,8.0,2.0,6.0,76.0,8.0,,14.0,
13,VA Beach City Public Schools,Virginia Beach,36.740246,-76.073639,North Landing Elementary School,PK-5,10.0,13%,461,5,28,7.0,8.0,9.0,63.0,11.0,,15.0,1.0
14,Washington County Public Schools,Abingdon,36.614601,-82.111298,High Point Elementary School,PK-5,10.0,51%,592,5,3,,1.0,1.0,94.0,4.0,,14.0,
15,Washington County Public Schools,Abingdon,36.67178,-81.955803,Watauga Elementary School,PK-5,10.0,47%,565,5,6,4.0,1.0,3.0,89.0,2.0,,16.0,
16,West Point Public Schools,West Point,37.556789,-76.79615,West Point High School,9-12,10.0,42%,273,5,5,3.0,7.0,4.0,77.0,8.0,1.0,13.0,
17,Wise County Public Schools,Wise,36.884159,-82.738251,Powell Valley Primary School,PK-4,10.0,85%,786,5,2,,3.0,1.0,94.0,2.0,,15.0,
18,Wythe County Public Schools,Wytheville,36.907394,-81.264542,Rural Retreat Elementary School,PK-5,10.0,52%,373,3,4,1.0,4.0,2.0,94.0,,,18.0,
19,Henrico County Public Schools,Richmond,37.67564,-77.59964,Deep Run High School,9-12,10.0,5%,1793,3,60,15.0,6.0,5.0,70.0,4.0,,18.0,
20,Prince William County Public Schools,Manassas,38.617466,-77.277061,Mary G. Porter Traditional,1-8,10.0,26%,683,3,57,20.0,37.0,12.0,26.0,4.0,,17.0,
21,Henrico County Public Schools,Richmond,37.69265,-77.631104,Kaechele Elementary,PK-5,9.0,2%,429,5,2,34.0,3.0,4.0,54.0,5.0,,18.0,
22,Arlington County Public Schools,Arlington,38.892635,-77.121277,Glebe Elementary School,PK-5,9.0,17%,625,5,22,9.0,8.0,18.0,59.0,6.0,,12.0,
23,Arlington County Public Schools,Arlington,38.91711,-77.139709,Jamestown Elementary School,PK-5,9.0,3%,610,4,66,5.0,1.0,7.0,78.0,8.0,,14.0,
24,Arlington County Public Schools,Arlington,38.90715,-77.113464,Taylor Elementary School,PK-5,9.0,4%,674,5,38,6.0,3.0,5.0,77.0,10.0,,16.0,
25,Arlington County Public Schools,Arlington,38.892921,-77.159691,Tuckahoe Elementary School,PK-5,9.0,1%,535,4,71,6.0,1.0,6.0,81.0,6.0,,17.0,
26,Chesapeake Public Schools,Chesapeake,36.707424,-76.235062,Great Bridge Middle School,6-8,9.0,13%,1397,4,40,4.0,9.0,8.0,72.0,7.0,,16.0,
27,Chesapeake Public Schools,Chesapeake,36.713562,-76.177742,Butts Road Intermediate School,3-5,9.0,13%,657,4,8,3.0,4.0,7.0,79.0,7.0,,18.0,
28,Chesterfield County Public Schools,Chesterfield,37.42662,-77.689796,Woolridge Elementary School,PK-5,9.0,10%,786,5,36,6.0,8.0,4.0,78.0,4.0,,18.0,
29,Dinwiddie County Public Schools,Dinwiddie,37.196087,-77.614899,Midway Elementary School,K-5,9.0,48%,388,3,14,,13.0,3.0,80.0,3.0,,15.0,
30,Fairfax County Public Schools,Falls Church,38.918243,-77.155075,Chesterbrook Elementary School,PK-6,9.0,0%,669,4,64,17.0,1.0,4.0,70.0,8.0,,14.0,
31,Fairfax County Public Schools,Falls Church,38.951443,-77.191757,Cooper Middle School,7-8,9.0,1%,912,4,29,20.0,2.0,6.0,65.0,6.0,,13.0,
32,Fairfax County Public Schools,Falls Church,38.904091,-77.173592,Haycock Elementary School,PK-6,9.0,1%,967,4,52,27.0,2.0,8.0,53.0,10.0,,16.0,
33,Fairfax County Public Schools,Falls Church,38.78101,-77.221741,Keene Mill Elementary School,K-6,9.0,18%,774,4,72,19.0,12.0,20.0,42.0,7.0,,17.0,
34,Fairfax County Public Schools,Falls Church,38.92149,-77.175568,Kent Gardens Elementary School,PK-6,9.0,1%,1025,3,80,17.0,3.0,7.0,64.0,7.0,,16.0,
35,Fairfax County Public Schools,Falls Church,38.948292,-77.165741,Langley High School,9-12,9.0,1%,1965,3,81,24.0,2.0,5.0,64.0,5.0,,16.0,
