GeoId,Div Name,LEAID,Year,Iteration,Population,Median age,Percent White,Percent Black,Percent Asian,Percent Latino,High School Graduate,Some College,Associates,Bachelors,Graduate,Median Income
9700000US5100060,Accomack County Public Schools,5100060,2013-2017,1,32840,46,68.4,28.4,0.7,8.8,39,17.3,6.3,11.4,8.2,42260
9700000US5100090,Albemarle County Public Schools,5100090,2013-2017,1,105105,38.6,81.5,9.6,5,5.7,17.7,16,5.4,26.7,25.6,72265
9700000US5100120,Alexandria City Public Schools,5100120,2013-2017,1,154710,36.4,62.3,22.1,6.2,16.7,11.9,13.3,4.4,29.2,32.6,93370
9700000US5100152,Alleghany County Public Schools,5100152,2013-2017,1,15489,46.9,92.5,5.5,0.1,1.4,39.4,21.1,10.2,10.5,5.3,46020
9700000US5100180,Amelia County Public Schools,5100180,2013-2017,1,12802,46.5,73.5,23.7,0.1,1.1,35.7,23.9,6.7,10.2,4.3,58535
9700000US5100210,Amherst County Public Schools,5100210,2013-2017,1,31819,43.9,77,17.6,0.6,2.3,34.4,20.9,8.8,12.8,7.1,49677
9700000US5100240,Appomattox County Public Schools,5100240,2013-2017,1,15462,43.5,77.5,20.1,0.2,1.3,35.9,19.4,8.9,11.7,9,54875
9700000US5100270,Arlington County Public Schools,5100270,2013-2017,1,229534,34.4,71.5,8.8,10.3,15.5,8,8.4,3.4,34.7,39.4,112138
9700000US5100300,Augusta County Public Schools,5100300,2013-2017,1,74390,44.6,93.1,4,0.6,2.5,38.3,18.4,6.8,14.9,8.6,59544
9700000US5100330,Bath County Public Schools,5100330,2013-2017,1,4458,47.3,89.8,2.7,0.3,5.7,41.9,23.2,6.6,11.5,4.4,44483
9700000US5100360,Bedford County Public Schools,5100360,2013-2017,1,77319,45.9,89.6,7,1.3,2,30.6,22,8.7,17.7,10.6,59405
9700000US5100390,Bland County Public Schools,5100390,2013-2017,1,6524,45.3,94.7,4.8,0,0.5,40.4,24.2,9.4,11,3.2,46927
9700000US5100420,Botetourt County Public Schools,5100420,2013-2017,1,33149,47.2,93.9,3.1,0.9,1.6,32.9,21.8,9.5,18.5,9.8,64733
9700000US5100450,Bristol City Public Schools,5100450,2013-2017,1,17077,42.3,88.4,7.7,0,0.5,33.6,20.5,7.3,15.1,8,37844
9700000US5100480,Brunswick County Public Schools,5100480,2013-2017,1,16435,43.4,42.2,54.2,0.5,2.1,38.4,20.6,6.7,7.9,5.2,40871
9700000US5100510,Buchanan County Public Schools,5100510,2013-2017,1,22611,46.3,95.5,2.8,0.5,0.3,36.4,17.8,6.6,6.7,4.1,30828
9700000US5100540,Buckingham County Public Schools,5100540,2013-2017,1,17048,42.7,61.2,34.5,0.3,2.4,41.5,17.7,6.3,7.5,3.8,46610
9700000US5100560,Buena Vista City Public Schools,5100560,2013-2017,1,6495,36.4,89.1,2.5,7.3,0.7,42.5,18.4,5.9,8.7,7.7,33672
9700000US5100600,Campbell County Public Schools,5100600,2013-2017,1,55158,42.8,81.6,14,0.9,2.1,32.7,23.1,8.1,13.5,8,48823
9700000US5100660,Caroline County Public Schools,5100660,2013-2017,1,29889,40.2,66.2,28.8,1,4.3,36.9,20.2,7.3,13.5,5.7,60925
9700000US5100690,Carroll County Public Schools,5100690,2013-2017,1,29767,47,97.5,0.3,0.1,3.1,34.3,21.1,11.1,10.5,4,41145
9700000US5100720,Charles City County Public Schools,5100720,2013-2017,1,7022,49.8,42.9,46.2,1,1.8,40.3,19.2,6,8,4.8,55069
9700000US5100750,Charlotte County Public Schools,5100750,2013-2017,1,12176,45.2,68.6,29.7,0.1,2.1,41.9,18.3,9.3,7.8,4,38350
9700000US5100780,Charlottesville City Public Schools,5100780,2013-2017,1,46487,30.9,70.1,18.9,7.2,5.2,19.6,15.4,4.1,24.8,26.6,54739
9700000US5100810,Chesapeake City Public Schools,5100810,2013-2017,1,235410,36.6,61.8,29.8,3.3,5.6,25.7,25.4,9.5,19.6,11.9,72214
9700000US5100840,Chesterfield County Public Schools,5100840,2013-2017,1,335594,38.8,68.3,22.7,3.5,8.2,23.8,21.2,8.5,23.8,14.5,76969
9700000US5100870,Clarke County Public Schools,5100870,2013-2017,1,14331,46,89.3,4.9,1,4.8,28.4,17.7,9.3,15.5,16,72129
9700000US5100930,Colonial Beach Town Public Schools,5100930,2013-2017,1,3400,50.4,86.6,2.7,1.5,6.8,37.6,23,4.4,18.4,8.9,52375
9700000US5100960,Colonial Heights City Public Schools,5100960,2013-2017,1,17582,40.1,77.4,13.3,3.8,5.5,32.9,25.2,8.9,15.2,8.4,50952
9700000US5100990,Covington City Public Schools,5100990,2013-2017,1,5675,44.2,82,13.3,1.5,2,41.9,20.2,6.7,8.7,5.8,35546
9700000US5101020,Craig County Public Schools,5101020,2013-2017,1,5131,47.5,99.4,0.1,0,0,41.4,19.5,10.6,14.2,4.9,53526
9700000US5101050,Culpeper County Public Schools,5101050,2013-2017,1,49795,38.8,77,14.4,1.4,9.7,31.7,22.9,6.8,14.6,8.8,69693
9700000US5101080,Cumberland County Public Schools,5101080,2013-2017,1,9797,44.5,63.3,32.5,0,0.1,37.7,20.1,7.1,9.9,6.8,43020
9700000US5100022,Dahlgren Department of Defense School District,5100022,2013-2017,1,597,23.4,75.5,17.1,0.8,8.2,18.5,37.4,6.7,21.5,12.6,56719
9700000US5101110,Danville City Public Schools,5101110,2013-2017,1,41911,40.6,45.7,49.2,1,3.9,28.4,24.1,9.2,11.9,7,34951
9700000US5101140,Dickenson County Public Schools,5101140,2013-2017,1,15181,43.9,98.2,0.8,0,0.8,37.4,18.4,9.4,5.7,3.7,29916
9700000US5101170,Dinwiddie County Public Schools,5101170,2013-2017,1,28033,42.9,64.7,31.8,0.4,3.2,38.3,20.1,7.6,10.5,6.1,54640
9700000US5101190,Emporia City Public Schools,5101190,2013-2017,1,5495,35.9,32.8,64.3,0.2,5.7,35.4,16.3,9.6,10.1,5.2,27426
9700000US5101200,Essex County Public Schools,5101200,2013-2017,1,11083,44.8,55.6,37.8,0.2,3.4,35.4,22.4,5.9,12.9,6,50629
9700000US5101230,Fairfax City Public Schools,5101230,2013-2017,1,23580,39,68.3,4.9,16,16.9,14,16.1,5.3,29.5,27.4,106870
9700000US5101260,Fairfax County Public Schools,5101260,2013-2017,1,1142004,37.9,62.5,9.7,18.9,16.2,12.9,13.2,5.4,31,29.7,117515
9700000US5101290,Falls Church City Public Schools,5101290,2013-2017,1,13843,39.7,79,4.8,9.3,10.6,7.3,8.5,4.3,35.6,42.5,114795
9700000US5101320,Fauquier County Public Schools,5101320,2013-2017,1,68406,41.6,86.9,7.5,1.4,7.5,27.4,20.9,7.8,21.8,13.5,94775
